Unnamed: 0,Click column heading for variable definition,Unnamed: 2,Exemption/Credit,Unnamed: 4,Age,Income Ceiling,Veteran Status,Other Criteria,Disability,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Benefits Continue for Surviving Spouses,Age for Spouse,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 23,Unnamed: 24,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 27,Unnamed: 28
NY,Alternative Veterans Exemption (Disabled),Veterans,,Tied to Disability,,,Disabled Vet,,,0.1,,,,,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,Yes,Both,,NY106(c),,"Exemption amount equals one-half of the vet's disability rating multiplied by a maximum benefit chosen by the local government, which can range from $30,000 to $150,000 (or $200,000 for localities with high appreciation). That means the exemption falls between $1,500 (1/2 x 10% x 30,000) and $75,000 (1/2 x 100% x 150,000) (With a higher range for localities with high appreciation). Local application deadline is usually Mar 1.",
NY,Volunteer Firefighter & Ambulance Worker Exempt.,Other,0.1,% Exemption,,,,X,,,,,,,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,Yes,Both,Both,NY107,,"Local governments choose the maximum dollar amount of the exemption, which can range from $500 to $3,000 in most counties. In Montgomery, Nassau, Suffolk, and Westchester counties there is no maximum dollar amount for the exemption. Local application deadline is usually Mar 1.",Applicant must be member of a volunteer fire department or ambulance service.
PA,School District Exemption for Homestead Property,General,,Local Option,,,,,,,,,,,,,School,Shared,Prop Tax Exempt.,By Mar 1,Annual,Yes,Both,,PA101,,Value of exemption must be less than 50% of the median assessed value of homestead property in the locality and must be applied uniformly to all homesteads.,Residents of Philadelphia are ineligible but qualify for a wage tax reduction and a city-specific homestead exemption.
PA,County or City Homestead Exemption (Act 50),General,,Local Option,,,,,,,,,,,,,County & municipal,Local,Prop Tax Exempt.,By Mar 1,One time,Yes,Both,,PA103,,Value of exemption must be less than 50% of the median assessed value of homestead property in the locality.,
TX,Homestead Exemption (Local options),General,,Local Option,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,Yes,Both,Both,TX101(e),,"Localities may exempt up to 20% of a property's appraised value, with a minimum exemption of $5,000.",
UT,Local Option Low-Income Deferral or Abatement,Seniors,984,$ Credit,65,33530,,X,,,,,,X,,,,Local,Prop Tax Credit,By Sep 1,Annual,Yes,Both,Inc.,UT102,,"Counties have option to grant either a $984 credit (maximum benefit for lowest income threshold for state circuit breaker program) or a 50% credit to low-income seniors, whichever is lower. ","To be eligible, claimants must have lived in the state 10 months. Benefit may be extended to applicants who are disabled and/or who demonstrate extreme hardship."
VA,Local Option Exemption for Seniors,Seniors,,Local Option,65,,,,,,,,,,,,,Local,Other,Local Option,Local option,Yes,Both,Both,VA101(a),,,No more than 10 acres of land eligible.
VA,Local Option Exemption for Disabled,Disabled,,Local Option,,,,,X,,,,,,,,,Local,Other,Local Option,Local option,Yes,Both,Both,VA101(b),,,No more than 10 acres of land eligible.
VA,Exempt. For Spouses of Police/Fire Killed in Duty,Other,1,% Exemption,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Unspecified,One time,Yes,Inc.,,VA105,,The maximum dollar amount for an exemption is the county's average assessed value for single family residences. Localities may opt to exempt more than one acre of land.,This local option exemption is for surviving spouses of public service officers or firefighters killed in the line-of-duty. Residents of long-term care facilities are eligible.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legend,,,,Local Option: Local governments set criteria.,,,,T: Total Disability,,,,,,,,Excl: Excludes,,,,,Adpt: Program Adoption,,,,,,
,,,,,,,,,P: Partial Disability,,,,,,,,Blank: All taxes or unspecified,,,,,Ben: Benefit Levels,,,,,,
,,,,,,,,,Bl: Blind,,,,,,,,,,,,,Elig: Eligibility Criteria,,,,,,
,,,,,,,,,LL: Loss of Limbs,,,,,,,,,,,,,Inc: Can increase benefits or expand eligibility,,,,,,
,,,,,,,,,Par: Paralysis,,,,,,,,,,,,,Dec: Can decrease benefits or reduce eligibility,,,,,,
,,,,,,,,,O: Other,,,,,,,,,,,,,Both: Can increase or decrease benefits and eligibility,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suggested Citation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lincoln Institute of Land Policy. 2019. Significant Features of the Property Tax. Residential Property Tax Relief Programs: Summary Table on Exemptions and Credits in 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.lincolninst.edu/research-data/data-toolkits/significant-features-property-tax/topics/residential-property-tax-relief-programs,,,,,,,,,,,,,,,,,,,,,,,,,,,
